source,variant,run,env,state_x,condition,sample_y,num_games,successes,pass_rate,complete_sample
origlogs,mechanism,origlogs_mechanism,frozen_lake,13,updated,2,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,13,updated,3,20,11,0.55,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,13,updated,4,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,13,updated,5,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,13,updated,6,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,13,updated,7,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,13,updated,8,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,original,1,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,original,2,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,original,3,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,original,4,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,original,5,20,6,0.3,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,original,6,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,original,7,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,original,8,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,updated,1,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,updated,2,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,updated,3,20,6,0.3,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,updated,4,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,updated,5,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,updated,6,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,updated,7,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,14,updated,8,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,original,1,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,original,2,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,original,3,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,original,4,20,4,0.2,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,original,5,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,original,6,20,6,0.3,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,original,7,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,15,original,8,20,3,0.15,True
