source,variant,run,env,state_x,condition,num_samples,total_games,mean_sample_pass_rate,median_sample_pass_rate,std_sample_pass_rate
origlogs,mechanism,origlogs_mechanism,sokoban,34,original,3,76,0.3,0.3,0.1
origlogs,mechanism,origlogs_mechanism,sokoban,34,updated,3,75,0.36666666666666664,0.35,0.028867513459481315
origlogs,mechanism,origlogs_mechanism,sokoban,35,original,3,77,0.39999999999999997,0.35,0.08660254037844388
origlogs,mechanism,origlogs_mechanism,sokoban,35,updated,3,77,0.38333333333333336,0.4,0.07637626158259735
origlogs,mechanism,origlogs_mechanism,sokoban,36,original,2,44,0.35,0.35,0.07071067811865478
origlogs,mechanism,origlogs_mechanism,sokoban,36,updated,2,43,0.45,0.45,0.07071067811865474
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,1,original,8,160,0.043750000000000004,0.05,0.032043497223082786
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,1,updated,8,160,0.075,0.1,0.05345224838248488
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,2,original,8,160,0.23125,0.225,0.03720119045714224
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,2,updated,8,160,0.20625000000000002,0.2,0.032043497223082786
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,3,original,8,160,0.20625000000000002,0.2,0.032043497223082786
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,3,updated,8,160,0.225,0.225,0.026726124191242432
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,4,original,8,160,0.2125,0.2,0.05175491695067656
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,4,updated,8,160,0.275,0.275,0.07559289460184544
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,5,original,8,160,0.325,0.32499999999999996,0.04629100498862757
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,5,updated,8,160,0.3125,0.3,0.05824823725107175
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,6,original,8,160,0.39375,0.375,0.07763237542601487
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,6,updated,8,160,0.35,0.35,0.046291004988627586
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,7,original,8,160,0.40625,0.4,0.049551560448255746
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,7,updated,8,160,0.41875,0.4,0.07039429765866795
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,8,original,8,160,0.41875,0.42500000000000004,0.05303300858899107
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,8,updated,8,160,0.38125,0.4,0.05938674695827105
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,9,original,8,160,0.3625,0.375,0.05175491695067658
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,9,updated,8,160,0.33125,0.32499999999999996,0.03720119045714226
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,10,original,8,160,0.36875,0.375,0.05938674695827105
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,10,updated,8,160,0.35,0.35,0.053452248382484885
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,11,original,8,160,0.375,0.35,0.07071067811865477
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,11,updated,8,160,0.3875,0.4,0.04432026302139593
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,12,original,8,160,0.41875,0.4,0.05938674695827104
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,12,updated,8,160,0.4375,0.45,0.05175491695067657
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,13,original,8,160,0.4,0.42500000000000004,0.08451542547285167
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,13,updated,8,160,0.3625,0.375,0.06408699444616558
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,14,original,8,160,0.46875,0.45,0.045806269065645215
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,14,updated,8,160,0.36875,0.375,0.07039429765866795
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,15,original,8,160,0.24375,0.25,0.04955156044825574
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,15,updated,8,160,0.29375,0.275,0.09038607667745546
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,16,original,8,160,0.4,0.4,0.1164964745021435
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,16,updated,8,160,0.3875,0.4,0.06943650748294136
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,17,original,8,160,0.4375,0.45,0.05175491695067657
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,17,updated,8,160,0.38125,0.4,0.05938674695827105
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,18,original,8,160,0.47500000000000003,0.475,0.07071067811865477
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,18,updated,8,160,0.40625,0.42500000000000004,0.08210402808980465
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,19,original,8,160,0.4625,0.475,0.044320263021395905
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,19,updated,8,160,0.425,0.45,0.08451542547285168
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,20,original,8,160,0.3625,0.375,0.04432026302139593
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,20,updated,8,160,0.425,0.42500000000000004,0.08017837257372733
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,21,original,8,160,0.3625,0.375,0.09543135154205278
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,21,updated,8,160,0.3,0.3,0.046291004988627565
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,22,original,8,160,0.30624999999999997,0.3,0.041726148019814
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,22,updated,8,160,0.35625,0.4,0.126596941962615
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,23,original,8,160,0.45,0.45,0.05345224838248488
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,23,updated,8,160,0.46875,0.5,0.0458062690656452
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,24,original,8,160,0.425,0.42500000000000004,0.04629100498862757
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,24,updated,8,160,0.49375,0.525,0.10155048005794952
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,25,original,8,160,0.45,0.45,0.059761430466719695
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,25,updated,8,160,0.45625,0.45,0.05629958132298018
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,26,original,8,160,0.49375,0.5,0.07288689868556625
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,26,updated,8,160,0.41875,0.45,0.08425090080061036
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,27,original,8,160,0.38125,0.375,0.07039429765866795
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,27,updated,8,160,0.35,0.35,0.037796447300922735
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,28,original,8,160,0.325,0.3,0.03779644730092273
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,28,updated,8,160,0.43125,0.42500000000000004,0.18310321055155127
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,29,original,8,160,0.36875,0.375,0.07989949043284678
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,29,updated,8,160,0.36875,0.375,0.05303300858899108
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,30,original,8,160,0.45,0.45,0.05345224838248488
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,30,updated,8,160,0.44375000000000003,0.42500000000000004,0.06781013409302689
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,31,original,8,160,0.45,0.45,0.04629100498862758
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,31,updated,8,160,0.425,0.475,0.11952286093343936
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,32,original,8,160,0.20625,0.2,0.04172614801981401
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,32,updated,8,160,0.28125,0.25,0.11319231422671772
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,33,original,8,160,0.49375,0.475,0.06781013409302687
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,33,updated,8,160,0.525,0.575,0.1336306209562122
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,34,original,8,160,0.575,0.55,0.10690449676496974
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,34,updated,8,160,0.575,0.575,0.0801783725737273
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,35,original,8,160,0.5375,0.525,0.07440238091428449
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,35,updated,8,160,0.4625,0.5,0.13024701806293193
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,36,original,8,160,0.56875,0.575,0.07989949043284676
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,36,updated,8,160,0.53125,0.55,0.07529703086538575
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,37,original,8,160,0.55625,0.55,0.041726148019813995
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,37,updated,8,160,0.45625000000000004,0.42500000000000004,0.10835622468770048
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,38,original,8,160,0.3125,0.3,0.09910312089651148
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,38,updated,8,160,0.28125,0.3,0.05938674695827102
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,39,original,8,160,0.34375,0.35,0.04172614801981402
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,39,updated,8,160,0.35625,0.35,0.07763237542601487
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,40,original,8,160,0.34375,0.32499999999999996,0.06781013409302689
origlogs,thinkahead,origlogs_thinkahead,frozen_lake,40,updated,8,160,0.275,0.225,0.11338934190276817
origlogs,thinkahead,origlogs_thinkahead,sokoban,1,original,8,160,0.34375,0.35,0.06232117273791125
origlogs,thinkahead,origlogs_thinkahead,sokoban,1,updated,8,160,0.4625,0.375,0.25035688811888407
origlogs,thinkahead,origlogs_thinkahead,sokoban,2,original,8,160,0.36875,0.375,0.05303300858899108
origlogs,thinkahead,origlogs_thinkahead,sokoban,2,updated,8,160,0.4,0.42500000000000004,0.07071067811865477
origlogs,thinkahead,origlogs_thinkahead,sokoban,3,original,8,160,0.39375,0.375,0.0863444100266899
origlogs,thinkahead,origlogs_thinkahead,sokoban,3,updated,8,160,0.31875,0.3,0.045806269065645215
origlogs,thinkahead,origlogs_thinkahead,sokoban,4,original,8,160,0.325,0.3,0.053452248382484885
origlogs,thinkahead,origlogs_thinkahead,sokoban,4,updated,8,160,0.3,0.3,0.07071067811865475
origlogs,thinkahead,origlogs_thinkahead,sokoban,5,original,8,160,0.39375,0.375,0.05629958132298018
origlogs,thinkahead,origlogs_thinkahead,sokoban,5,updated,8,160,0.33125,0.32499999999999996,0.05303300858899107
origlogs,thinkahead,origlogs_thinkahead,sokoban,6,original,8,160,0.31875,0.3,0.13611313571542505
origlogs,thinkahead,origlogs_thinkahead,sokoban,6,updated,8,160,0.35,0.375,0.08451542547285167
origlogs,thinkahead,origlogs_thinkahead,sokoban,7,original,8,160,0.30625,0.35,0.13479481761975443
origlogs,thinkahead,origlogs_thinkahead,sokoban,7,updated,8,160,0.3625,0.35,0.09910312089651149
origlogs,thinkahead,origlogs_thinkahead,sokoban,8,original,8,160,0.35,0.35,0.046291004988627586
origlogs,thinkahead,origlogs_thinkahead,sokoban,8,updated,8,160,0.30625,0.3,0.08210402808980465
origlogs,thinkahead,origlogs_thinkahead,sokoban,9,original,8,160,0.3625,0.35,0.05175491695067658
origlogs,thinkahead,origlogs_thinkahead,sokoban,9,updated,8,160,0.35625,0.35,0.10835622468770047
origlogs,thinkahead,origlogs_thinkahead,sokoban,10,original,8,160,0.34375,0.35,0.10835622468770047
origlogs,thinkahead,origlogs_thinkahead,sokoban,10,updated,8,160,0.36875,0.375,0.07529703086538578
origlogs,thinkahead,origlogs_thinkahead,sokoban,11,original,8,160,0.40625,0.375,0.07763237542601487
origlogs,thinkahead,origlogs_thinkahead,sokoban,11,updated,8,160,0.3,0.275,0.11338934190276817
